date,direction,distance,duration,duration_in_traffic,lat,lng,duration_normalized,duration_in_traffic_normalized
2019-03-01 05:00:00,to,1957,459,392,42.35255001,-71.06089782800001,0.2345426673479816,0.2003065917220235
2019-03-01 05:00:00,to,5357,694,614,42.34610399,-71.06089782800001,0.12955012133656899,0.11461638977039387
2019-03-01 05:00:00,to,2242,624,548,42.350948702,-71.061265967,0.2783229259589652,0.24442462087421946
2019-03-01 05:00:00,to,3445,666,583,42.347705298,-71.061265967,0.19332365747460087,0.16923076923076924
2019-03-01 05:00:00,to,2269,601,519,42.349327,-71.06138919600001,0.26487439400617013,0.22873512560599382
2019-03-01 05:00:00,from,5818,677,625,42.358357673,-71.026468513,0.1163630113441045,0.1074252320385012
2019-03-01 05:00:00,from,2256,400,362,42.340296327,-71.026468513,0.1773049645390071,0.16046099290780141
2019-03-01 05:00:00,from,2054,375,339,42.339085213000004,-71.027932983,0.18257059396299902,0.16504381694255113
2019-03-01 05:00:00,from,2183,329,290,42.338002895,-71.029571725,0.15071003206596426,0.13284470911589555
2019-03-01 05:00:00,from,2451,421,378,42.337062984,-71.031364131,0.17176662586699307,0.15422276621787026
2019-03-01 05:00:00,from,2167,374,319,42.3362773,-71.033287661,0.17258883248730963,0.14720812182741116
2019-03-01 05:00:00,from,1935,323,273,42.335655724,-71.035318126,0.1669250645994832,0.14108527131782947
2019-03-01 05:00:00,from,2135,382,328,42.335206072,-71.03742999100001,0.17892271662763465,0.15362997658079625
2019-03-01 05:00:00,from,2687,485,426,42.334933998000004,-71.039596698,0.18049869743208038,0.1585411239300335
2019-03-01 05:00:00,from,2508,418,363,42.334842926,-71.041791,0.16666666666666666,0.14473684210526316
2019-03-01 05:00:00,from,2708,443,382,42.334933998000004,-71.043985302,0.163589364844904,0.1410635155096012
2019-03-01 05:00:00,from,2270,431,379,42.335206072,-71.046152009,0.18986784140969162,0.1669603524229075
2019-03-01 05:00:00,from,2473,483,425,42.335655724,-71.048263874,0.1953093408815204,0.17185604528912252
2019-03-01 05:00:00,from,2516,470,401,42.3362773,-71.05029433899999,0.18680445151033387,0.15937996820349762
2019-03-01 05:00:00,from,2691,565,479,42.361591016,-71.052217869,0.20995912300260125,0.17800074321813453
2019-03-01 05:00:00,from,2733,549,471,42.337062984,-71.052217869,0.20087815587266739,0.17233809001097694
2019-03-01 05:00:00,from,4477,551,508,42.360651105,-71.054010275,0.12307348670985034,0.11346884074156802
2019-03-01 05:00:00,from,2548,505,434,42.338002895,-71.054010275,0.19819466248037676,0.17032967032967034
2019-03-01 05:00:00,from,2799,667,574,42.359568787,-71.055649017,0.23829939264022865,0.20507324044301536
2019-03-01 05:00:00,from,2680,478,410,42.339085213000004,-71.055649017,0.1783582089552239,0.15298507462686567
2019-03-01 05:00:00,from,2354,581,503,42.358357673,-71.057113487,0.24681393372982158,0.21367884451996602
2019-03-01 05:00:00,from,2441,482,413,42.340296327,-71.057113487,0.19746005735354363,0.16919295370749693
2019-03-01 05:00:00,from,2181,551,465,42.357032992,-71.05838526699999,0.25263640531866116,0.21320495185694635
2019-03-01 05:00:00,from,2501,496,421,42.341621008000004,-71.05838526699999,0.1983206717313075,0.1683326669332267
2019-03-01 05:00:00,from,2089,538,457,42.355611404,-71.059448365,0.2575394925801819,0.21876495931067497
2019-03-01 05:00:00,from,2533,444,387,42.343042596,-71.059448365,0.17528622187129886,0.15278326095538886
